entry_idx,entry_price,entry_time,direction,signal,lot_size,stop_loss,take_profit,confidence,exit_type,exit_price,exit_time,exit_idx,pnl
617,101474.8975,2025-01-07 10:15:00,SELL,-1,1.2,101474.9075,101474.86750000001,66.66666666666666,SL,101516.6825,2025-01-07 10:30:00,618,-119.99999993713573
621,101374.17250000002,2025-01-07 11:15:00,SELL,-1,1.2,101374.18250000001,101374.14250000002,66.66666666666666,TP,100984.0,2025-01-07 11:30:00,622,359.99999998603016
622,100984.0,2025-01-07 11:30:00,BUY,1,1.2,100983.99,100984.03,66.66666666666666,SL,100691.2025,2025-01-07 11:45:00,623,-119.99999993713573
623,100691.2025,2025-01-07 11:45:00,BUY,1,1.2,100691.1925,100691.2325,100.0,TP,100776.765,2025-01-07 12:00:00,624,359.99999998603016
632,100616.4725,2025-01-07 14:00:00,BUY,1,1.2,100616.46250000001,100616.5025,66.66666666666666,TP,100641.7975,2025-01-07 14:15:00,633,359.99999998603016
636,99242.2325,2025-01-07 15:00:00,SELL,-1,1.2,99242.2425,99242.2025,66.66666666666666,TP,98458.195,2025-01-07 15:15:00,637,359.99999998603016
637,98458.195,2025-01-07 15:15:00,SELL,-1,1.2,98458.205,98458.16500000001,66.66666666666666,TP,97976.55,2025-01-07 15:30:00,638,359.99999998603016
638,97976.55,2025-01-07 15:30:00,SELL,-1,1.2,97976.56,97976.52,66.66666666666666,TP,97684.58,2025-01-07 15:45:00,639,359.99999998603016
639,97684.58,2025-01-07 15:45:00,BUY,1,1.2,97684.57,97684.61,100.0,TP,97823.44,2025-01-07 16:00:00,640,359.99999998603016
642,98032.2025,2025-01-07 16:30:00,SELL,-1,1.2,98032.2125,98032.1725,66.66666666666666,TP,97939.9675,2025-01-07 16:45:00,643,359.99999998603016
645,97346.245,2025-01-07 17:15:00,SELL,-1,1.2,97346.25499999999,97346.215,66.66666666666666,TP,97179.02,2025-01-07 17:30:00,646,359.99999998603016
646,97179.02,2025-01-07 17:30:00,BUY,1,1.2,97179.01000000001,97179.05,66.66666666666666,SL,97070.805,2025-01-07 17:45:00,647,-119.99999993713573
647,97070.805,2025-01-07 17:45:00,BUY,1,1.2,97070.795,97070.83499999999,100.0,TP,97312.455,2025-01-07 18:00:00,648,359.99999998603016
651,96752.005,2025-01-07 18:45:00,BUY,1,1.2,96751.99500000001,96752.035,100.0,TP,96897.205,2025-01-07 19:00:00,652,359.99999998603016
656,96394.0525,2025-01-07 20:00:00,SELL,-1,1.2,96394.0625,96394.0225,66.66666666666666,TP,96285.6225,2025-01-07 20:15:00,657,359.99999998603016
