entry_idx,entry_price,entry_time,entry_bar_time,direction,signal,lot_size,stop_loss,take_profit,tp_pips,cluster_density,confidence,open_bars,exit_idx,exit_price,exit_type,exit_time,pnl,days_open,bars_open
692,96254.6975,2025-01-08 05:00:00,2025-01-08 05:00:00,BUY,1,1.2,96254.6875,96254.73003968253,325.3968253968254,0.3134920634920635,100,0,708,96254.6875,SL,2025-01-08 09:00:00,-119.99999993713573,0,16
708,95986.76499999998,2025-01-08 09:00:00,2025-01-08 09:00:00,SELL,-1,1.2,95986.77499999998,95986.73436507935,306.3492063492064,0.26587301587301587,100,0,724,95089.1575,TP,2025-01-08 13:00:00,367.6190476398915,0,16
768,94969.42,2025-01-09 00:00:00,2025-01-09 00:00:00,SELL,-1,1.2,94969.43,94969.38857142857,314.2857142857143,0.2857142857142857,100,0,784,93889.72,TP,2025-01-09 04:00:00,377.1428571199067,0,16
784,93889.72,2025-01-09 04:00:00,2025-01-09 04:00:00,BUY,1,1.2,93889.71,93889.7534920635,334.92063492063494,0.3373015873015873,100,0,800,93889.71,SL,2025-01-09 08:00:00,-119.99999993713573,0,16
801,92900.99,2025-01-09 08:15:00,2025-01-09 08:15:00,BUY,1,1.2,92900.98000000001,92901.02492063493,349.2063492063492,0.373015873015873,100,0,817,93505.12,TP,2025-01-09 12:15:00,419.04761904152105,0,16
864,92592.5975,2025-01-10 00:00:00,2025-01-10 00:00:00,BUY,1,1.2,92592.58750000001,92592.63511904763,376.19047619047615,0.44047619047619047,100,0,880,93720.675,TP,2025-01-10 04:00:00,451.4285714831203,0,16
880,93720.675,2025-01-10 04:00:00,2025-01-10 04:00:00,BUY,1,1.2,93720.66500000001,93720.71515873016,401.58730158730157,0.503968253968254,100,0,896,94616.2125,TP,2025-01-10 08:00:00,481.9047619239427,0,16
900,94736.7925,2025-01-10 09:00:00,2025-01-10 09:00:00,BUY,1,1.2,94736.7825,94736.82853174602,360.31746031746036,0.4007936507936508,100,0,916,94949.6225,TP,2025-01-10 13:00:00,432.38095234846696,0,16
960,94652.1375,2025-01-11 00:00:00,2025-01-11 00:00:00,SELL,-1,1.2,94652.14749999999,94652.10051587301,369.8412698412699,0.4246031746031746,100,0,976,94127.2225,TP,2025-01-11 04:00:00,443.8095238292589,0,16
976,94127.2225,2025-01-11 04:00:00,2025-01-11 04:00:00,BUY,1,1.2,94127.21250000001,94127.2578968254,353.968253968254,0.38492063492063494,100,0,992,94233.18,TP,2025-01-11 08:00:00,424.76190469460556,0,16
992,94233.18,2025-01-11 08:00:00,2025-01-11 08:00:00,BUY,1,1.2,94233.17,94233.21682539681,368.25396825396825,0.42063492063492064,100,0,1008,94533.085,TP,2025-01-11 12:00:00,441.90476182848215,0,16
1059,94440.07,2025-01-12 00:45:00,2025-01-12 00:45:00,BUY,1,1.2,94440.06000000001,94440.10793650795,379.3650793650794,0.44841269841269843,100,0,1075,94544.87750000002,TP,2025-01-12 04:45:00,455.238095310051,0,16
1075,94544.87750000002,2025-01-12 04:45:00,2025-01-12 04:45:00,SELL,-1,1.2,94544.88750000001,94544.83956349207,379.3650793650794,0.44841269841269843,100,0,1091,94119.7725,TP,2025-01-12 08:45:00,455.238095310051,0,16
1092,94093.0925,2025-01-12 09:00:00,2025-01-12 09:00:00,BUY,1,1.2,94093.0825,94093.12821428571,357.1428571428571,0.39285714285714285,100,0,1108,94367.045,TP,2025-01-12 13:00:00,428.5714285215363,0,16
1152,94498.2975,2025-01-13 00:00:00,2025-01-13 00:00:00,SELL,-1,1.2,94498.3075,94498.26099206349,365.07936507936506,0.4126984126984127,100,0,1168,94317.01,TP,2025-01-13 04:00:00,438.0952381761744,0,16
1168,94317.01,2025-01-13 04:00:00,2025-01-13 04:00:00,BUY,1,1.2,94317.0,94317.04809523809,380.95238095238096,0.4523809523809524,100,0,1184,94317.0,SL,2025-01-13 08:00:00,-119.99999993713573,0,16
1184,93431.92,2025-01-13 08:00:00,2025-01-13 08:00:00,SELL,-1,1.2,93431.93,93431.8865079365,334.92063492063494,0.3373015873015873,100,0,1200,90856.31,TP,2025-01-13 12:00:00,401.90476190764457,0,16
1248,94460.705,2025-01-14 00:00:00,2025-01-14 00:00:00,SELL,-1,1.2,94460.715,94460.66261904762,423.80952380952385,0.5595238095238095,100,0,1264,94460.715,SL,2025-01-14 04:00:00,-119.99999993713573,0,16
1265,95000.4275,2025-01-14 04:15:00,2025-01-14 04:15:00,SELL,-1,1.2,95000.4375,95000.37861111111,488.88888888888886,0.7222222222222222,100,0,1281,95000.4375,SL,2025-01-14 08:15:00,-119.99999993713573,0,16
1281,95439.79,2025-01-14 08:15:00,2025-01-14 08:15:00,BUY,1,1.2,95439.78,95439.83888888889,488.88888888888886,0.7222222222222222,100,0,1297,96177.1825,TP,2025-01-14 12:15:00,586.6666667279787,0,16
1344,96698.175,2025-01-15 00:00:00,2025-01-15 00:00:00,BUY,1,1.2,96698.16500000001,96698.2238888889,488.88888888888886,0.7222222222222222,100,0,1360,97379.845,TP,2025-01-15 04:00:00,586.6666667279787,0,16
1360,97379.845,2025-01-15 04:00:00,2025-01-15 04:00:00,SELL,-1,1.2,97379.855,97379.7961111111,488.88888888888886,0.7222222222222222,100,0,1376,97322.41,TP,2025-01-15 08:00:00,586.6666667279787,0,16
